cohort ;user  ;time_year ;time_month ;subscription ;content ;genres ;recency_new ;bounce
     0 ;    0 ;     2018 ;         3 ;           1 ;      4 ;     4 ;0,4         ;0
     0 ;    1 ;     2018 ;         3 ;           1 ;      8 ;     3 ;0,125       ;0,5
     0 ;    2 ;     2018 ;         3 ;           1 ;      4 ;     2 ;0           ;0,2
     0 ;    3 ;     2018 ;         3 ;           1 ;      2 ;     2 ;0,75        ;0,25
     0 ;    4 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0           ;1
     0 ;    5 ;     2018 ;         3 ;           1 ;      6 ;     4 ;0,8889      ;0,1111
     0 ;    6 ;     2018 ;         3 ;           1 ;      3 ;     1 ;0           ;0
     0 ;    7 ;     2018 ;         3 ;           1 ;      4 ;     2 ;0           ;0,5
     0 ;    8 ;     2018 ;         3 ;           1 ;      7 ;     3 ;0,2857      ;0,7143
     0 ;    8 ;     2018 ;         4 ;           1 ;      2 ;     2 ;0,5         ;1
     0 ;    9 ;     2018 ;         3 ;           1 ;      4 ;     3 ;0,5         ;0,1667
     0 ;   10 ;     2018 ;         3 ;           1 ;      4 ;     3 ;0,75        ;0,25
     0 ;   10 ;     2018 ;         4 ;           1 ;      2 ;     2 ;0,5         ;0,5
     0 ;   11 ;     2018 ;         3 ;           1 ;      1 ;     1 ;0           ;0
     0 ;   11 ;     2018 ;         4 ;           1 ;      2 ;     2 ;0,5         ;0,5
     0 ;   12 ;     2018 ;         3 ;           1 ;      2 ;     2 ;0,3333      ;0,3333
     0 ;   13 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0,3333      ;0,3333
     0 ;   14 ;     2018 ;         3 ;           1 ;      3 ;     1 ;0           ;0,25
     0 ;   15 ;     2018 ;         3 ;           1 ;      4 ;     3 ;0,8         ;1
     0 ;   15 ;     2018 ;         4 ;           1 ;     15 ;     4 ;0,1304      ;0,5652
     0 ;   16 ;     2018 ;         3 ;           1 ;      5 ;     2 ;0,3333      ;0,3333
     0 ;   17 ;     2018 ;         3 ;           1 ;      7 ;     3 ;0,1         ;0
     0 ;   17 ;     2018 ;         4 ;           1 ;      3 ;     1 ;0,6667      ;0
     0 ;   18 ;     2018 ;         3 ;           1 ;      3 ;     3 ;0,25        ;1
     0 ;   19 ;     2018 ;         3 ;           1 ;      1 ;     1 ;0           ;1
     0 ;   19 ;     2018 ;         4 ;           1 ;      3 ;     2 ;0,75        ;0,25
     0 ;   20 ;     2018 ;         3 ;           1 ;      2 ;     2 ;0           ;0
     0 ;   21 ;     2018 ;         3 ;           1 ;      5 ;     2 ;0           ;0,5
     0 ;   22 ;     2018 ;         3 ;           1 ;      1 ;     1 ;1           ;0
     0 ;   23 ;     2018 ;         3 ;           1 ;      2 ;     2 ;0,5         ;0,5
     0 ;   23 ;     2018 ;         4 ;           1 ;      3 ;     3 ;0,2         ;0,2
     0 ;   24 ;     2018 ;         3 ;           1 ;      4 ;     1 ;0           ;0
     0 ;   25 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0,3333      ;1
     0 ;   26 ;     2018 ;         3 ;           1 ;      6 ;     3 ;0           ;0,7143
     0 ;   27 ;     2018 ;         3 ;           1 ;      5 ;     3 ;0,6         ;0,6
     0 ;   27 ;     2018 ;         4 ;           1 ;      9 ;     4 ;0,6667      ;0,5556
     0 ;   28 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0           ;0,5
     0 ;   29 ;     2018 ;         3 ;           1 ;      5 ;     2 ;0,3333      ;0,6667
     0 ;   30 ;     2018 ;         3 ;           1 ;      8 ;     2 ;0           ;0,6
     0 ;   31 ;     2018 ;         3 ;           1 ;      6 ;     2 ;0           ;0,8333
     0 ;   32 ;     2018 ;         3 ;           1 ;      4 ;     3 ;0,1667      ;0,6667
     0 ;   32 ;     2018 ;         4 ;           1 ;      1 ;     1 ;0           ;1
     0 ;   33 ;     2018 ;         3 ;           1 ;      5 ;     3 ;0,7143      ;0,7143
     0 ;   34 ;     2018 ;         3 ;           1 ;      2 ;     3 ;0,3333      ;0,6667
     0 ;   34 ;     2018 ;         4 ;           1 ;      1 ;     1 ;0           ;1
     0 ;   35 ;     2018 ;         3 ;           1 ;      1 ;     1 ;1           ;0
     0 ;   35 ;     2018 ;         4 ;           1 ;      6 ;     3 ;0,6667      ;0,5
     0 ;   36 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0,6667      ;0,6667
     0 ;   37 ;     2018 ;         3 ;           1 ;      3 ;     3 ;0,1667      ;0,6667
     0 ;   38 ;     2018 ;         3 ;           1 ;      5 ;     2 ;0           ;0
     0 ;   39 ;     2018 ;         3 ;           1 ;      5 ;     2 ;0,8         ;0
     0 ;   40 ;     2018 ;         3 ;           1 ;      2 ;     3 ;0,8         ;1
     0 ;   41 ;     2018 ;         3 ;           1 ;      2 ;     1 ;0           ;1
     0 ;   41 ;     2018 ;         4 ;           1 ;      3 ;     2 ;0,3333      ;1
     0 ;   42 ;     2018 ;         3 ;           1 ;      3 ;     3 ;0,6667      ;0,6667
     0 ;   43 ;     2018 ;         3 ;           1 ;      2 ;     2 ;1           ;0,5
     0 ;   44 ;     2018 ;         3 ;           1 ;      6 ;     2 ;0,7692      ;0,5385
     0 ;   45 ;     2018 ;         3 ;           1 ;      4 ;     3 ;0,2         ;0,8
     0 ;   46 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0,6         ;0,6
     0 ;   47 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0,75        ;0,5
     0 ;   48 ;     2018 ;         3 ;           1 ;      7 ;     2 ;0,1         ;0,4
     0 ;   49 ;     2018 ;         3 ;           1 ;      3 ;     3 ;0,8333      ;0,1667
     0 ;   50 ;     2018 ;         3 ;           1 ;      8 ;     4 ;0,25        ;0,625
     0 ;   51 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0,3333      ;1
     0 ;   51 ;     2018 ;         4 ;           1 ;        ;       ;            ;
     0 ;   51 ;     2018 ;         5 ;           1 ;      1 ;     1 ;0           ;1
     0 ;   52 ;     2018 ;         3 ;           1 ;      9 ;     2 ;0,2         ;0,3
     0 ;   53 ;     2018 ;         3 ;           1 ;      2 ;     1 ;0           ;0,6667
     0 ;   54 ;     2018 ;         3 ;           1 ;      6 ;     2 ;0,6667      ;0
     0 ;   54 ;     2018 ;         4 ;           1 ;      6 ;     4 ;0,3333      ;0
     0 ;   55 ;     2018 ;         3 ;           1 ;      2 ;     1 ;0           ;0,75
     0 ;   55 ;     2018 ;         4 ;           1 ;      1 ;     1 ;0           ;1
     0 ;   56 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0           ;1
     0 ;   57 ;     2018 ;         3 ;           1 ;      2 ;     2 ;0,6667      ;0,6667
     0 ;   58 ;     2018 ;         3 ;           1 ;      1 ;     1 ;0           ;0,6667
     0 ;   59 ;     2018 ;         3 ;           1 ;      7 ;     3 ;0,5         ;0,5
     0 ;   60 ;     2018 ;         3 ;           1 ;      2 ;     2 ;0           ;1
     0 ;   60 ;     2018 ;         4 ;           1 ;      1 ;     1 ;0           ;0
     0 ;   61 ;     2018 ;         3 ;           1 ;      1 ;     1 ;1           ;1
     0 ;   61 ;     2018 ;         4 ;           1 ;      5 ;     3 ;0,6667      ;0,5556
     0 ;   62 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0           ;0,6667
     0 ;   63 ;     2018 ;         3 ;           1 ;      1 ;     1 ;0           ;0,5
     0 ;   63 ;     2018 ;         4 ;           1 ;      2 ;     2 ;0           ;0
     0 ;   64 ;     2018 ;         3 ;           1 ;      6 ;     2 ;0           ;0,625
     0 ;   65 ;     2018 ;         3 ;           1 ;      6 ;     1 ;0,6667      ;0
     0 ;   66 ;     2018 ;         3 ;           1 ;      2 ;     1 ;0,5         ;0
     0 ;   66 ;     2018 ;         4 ;           1 ;      1 ;     1 ;1           ;0
     0 ;   67 ;     2018 ;         3 ;           1 ;      2 ;     2 ;0           ;0
     0 ;   67 ;     2018 ;         4 ;           1 ;      2 ;     2 ;1           ;0
     0 ;   68 ;     2018 ;         3 ;           1 ;      4 ;     2 ;0           ;0,5
     0 ;   68 ;     2018 ;         4 ;           1 ;      2 ;     2 ;0           ;1
     0 ;   69 ;     2018 ;         3 ;           1 ;      2 ;     2 ;1           ;1
     0 ;   70 ;     2018 ;         3 ;           1 ;     13 ;     5 ;0,125       ;0,625
     0 ;   71 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0           ;0
     0 ;   71 ;     2018 ;         4 ;           1 ;     16 ;     4 ;0,1481      ;0,4074
     0 ;   72 ;     2018 ;         3 ;           1 ;      1 ;     1 ;0           ;0
     0 ;   72 ;     2018 ;         4 ;           1 ;      2 ;     2 ;0           ;0,5
     0 ;   73 ;     2018 ;         3 ;           1 ;      2 ;     1 ;0,5         ;1
     0 ;   73 ;     2018 ;         4 ;           1 ;      9 ;     3 ;0,5455      ;0,6364
     0 ;   74 ;     2018 ;         3 ;           1 ;      6 ;     3 ;0           ;0,625
     0 ;   75 ;     2018 ;         3 ;           1 ;      2 ;     1 ;0,5         ;0,5
     0 ;   75 ;     2018 ;         4 ;           1 ;      1 ;     1 ;1           ;0,5
     0 ;   76 ;     2018 ;         3 ;           1 ;      6 ;     2 ;0,2857      ;0,4286
     0 ;   77 ;     2018 ;         3 ;           1 ;      2 ;     2 ;0,6667      ;0,6667
     0 ;   78 ;     2018 ;         3 ;           1 ;      4 ;     3 ;0           ;0,3333
     0 ;   79 ;     2018 ;         3 ;           1 ;      2 ;     2 ;0           ;0,5
     0 ;   79 ;     2018 ;         4 ;           1 ;     10 ;     4 ;0,3333      ;0,5
     0 ;   80 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0,8         ;0,6
     0 ;   81 ;     2018 ;         3 ;           1 ;      2 ;     1 ;0           ;0
     0 ;   81 ;     2018 ;         4 ;           1 ;      3 ;     1 ;0           ;0,5
     0 ;   82 ;     2018 ;         3 ;           1 ;      5 ;     3 ;0,4286      ;0
     0 ;   83 ;     2018 ;         3 ;           1 ;      7 ;     2 ;0,25        ;0,625
     0 ;   84 ;     2018 ;         3 ;           1 ;      2 ;     1 ;0           ;0,3333
     0 ;   84 ;     2018 ;         4 ;           1 ;      3 ;     1 ;0           ;0,2
     0 ;   85 ;     2018 ;         3 ;           1 ;      1 ;     1 ;1           ;0
     0 ;   85 ;     2018 ;         4 ;           1 ;      2 ;     1 ;0,5         ;0,5
     0 ;   86 ;     2018 ;         3 ;           1 ;      3 ;     3 ;0,6667      ;0,3333
     0 ;   86 ;     2018 ;         4 ;           1 ;      1 ;     1 ;1           ;1
     0 ;   87 ;     2018 ;         3 ;           1 ;      2 ;     2 ;0,5         ;0,5
     0 ;   87 ;     2018 ;         4 ;           1 ;      1 ;     1 ;0           ;1
     0 ;   88 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0,75        ;0,5
     0 ;   89 ;     2018 ;         3 ;           1 ;     12 ;     3 ;0,3333      ;0,4167
     0 ;   89 ;     2018 ;         4 ;           1 ;      1 ;     1 ;0           ;0
     0 ;   90 ;     2018 ;         3 ;           1 ;     18 ;     5 ;0,3913      ;0
     0 ;   91 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0,7143      ;0,5714
     0 ;   91 ;     2018 ;         4 ;           1 ;      3 ;     4 ;0,75        ;0,75
     0 ;   91 ;     2018 ;         5 ;           1 ;      2 ;     2 ;0,5         ;0,5
     0 ;   92 ;     2018 ;         3 ;           1 ;      4 ;     2 ;0           ;0,5
     0 ;   92 ;     2018 ;         4 ;           1 ;      3 ;     2 ;0,3333      ;0,6667
     0 ;   92 ;     2018 ;         5 ;           1 ;      2 ;     2 ;1           ;0,5
     0 ;   92 ;     2018 ;         6 ;           1 ;      1 ;     1 ;0           ;1
     0 ;   93 ;     2018 ;         3 ;           1 ;      8 ;     4 ;0,1         ;0,2
     0 ;   94 ;     2018 ;         3 ;           1 ;      7 ;     3 ;0,2         ;0
     0 ;   94 ;     2018 ;         4 ;           1 ;      6 ;     3 ;0,1667      ;0
     0 ;   95 ;     2018 ;         3 ;           1 ;      6 ;     2 ;0,25        ;0,3333
     0 ;   96 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0,3333      ;0
     0 ;   96 ;     2018 ;         4 ;           1 ;      4 ;     2 ;0,2222      ;0
     0 ;   97 ;     2018 ;         3 ;           1 ;      6 ;     2 ;0,1818      ;0
     0 ;   97 ;     2018 ;         4 ;           1 ;     27 ;     4 ;0,4615      ;0
     0 ;   98 ;     2018 ;         3 ;           1 ;      1 ;     1 ;1           ;0,5
     0 ;   98 ;     2018 ;         4 ;           1 ;      1 ;     1 ;1           ;0
     0 ;   99 ;     2018 ;         3 ;           1 ;      3 ;     2 ;0,8571      ;0,5714
     0 ;  100 ;     2018 ;         3 ;           1 ;      3 ;     3 ;0           ;0,6667
     0 ;  101 ;     2018 ;         3 ;           1 ;      7 ;     3 ;0,2857      ;0,5714
